item_id,name,category,supplier_info,stock_info,pricing_info,quality_metrics,storage_info,usage_metrics,sustainability_info
INV_4172,Wild-caught Beef,"{'main_category': 'Dry Goods', 'sub_category': 'Frozen', 'storage_type': 'Refrigeration', 'shelf_life': 240}","{'supplier_name': 'Supplier_587', 'supplier_type': 'Local Farm', 'delivery_frequency': 'Bi-weekly', 'lead_time': 12, 'quality_rating': 3.06351497476711, 'reliability_score': 0.8489995147887703}","{'current_stock': 468, 'minimum_stock': 44, 'maximum_stock': 796, 'reorder_point': 195, 'reorder_quantity': 291, 'stock_turnover_rate': 11.137125945914534, 'stock_value': 6140.239953249712}","{'unit_price': 92.04, 'bulk_price': 73.63, 'wholesale_price': 64.43, 'price_history': {'last_month': 99.77, 'last_quarter': 108.07, 'last_year': 112.47}, 'price_trend': 'decreasing'}","{'quality_grade': 'C', 'freshness_score': 0.7489801724637766, 'consistency_score': 0.9633547765341579, 'quality_issues': ['occasional inconsistency'], 'quality_improvements': ['improved packaging']}","{'storage_location': 'Freezer', 'temperature_range': {'min': 7.788002440647826, 'max': 4.567891940750643}, 'humidity_range': {'min': 37.10885978445334, 'max': 68.33843040823086}, 'storage_requirements': ['protect from light']}","{'daily_usage': 9.400319411073973, 'weekly_usage': 324.5841627766954, 'monthly_usage': 1727.3236175059924, 'usage_trend': 'stable', 'waste_rate': 0.06668320613185495, 'efficiency_score': 0.7661640750621629}","{'sustainability_rating': 0.739872480578839, 'environmental_impact': 'low', 'sustainable_practices': ['organic production', 'local sourcing', 'reduced waste'], 'certifications': ['fair trade', 'rainforest alliance']}"
INV_4654,Seasonal Spices,"{'main_category': 'Dairy', 'sub_category': 'Canned', 'storage_type': 'Wine Cellar', 'shelf_life': 345}","{'supplier_name': 'Supplier_819', 'supplier_type': 'Local Farm', 'delivery_frequency': 'Weekly', 'lead_time': 2, 'quality_rating': 3.306286112689323, 'reliability_score': 0.7823289645620376}","{'current_stock': 917, 'minimum_stock': 35, 'maximum_stock': 676, 'reorder_point': 57, 'reorder_quantity': 263, 'stock_turnover_rate': 1.4462260585859337, 'stock_value': 6271.019324637764}","{'unit_price': 55.68, 'bulk_price': 44.54, 'wholesale_price': 38.97, 'price_history': {'last_month': 52.48, 'last_quarter': 46.85, 'last_year': 63.77}, 'price_trend': 'decreasing'}","{'quality_grade': 'C', 'freshness_score': 0.8154804122401711, 'consistency_score': 0.8771229363547202, 'quality_issues': [], 'quality_improvements': ['quality control measures']}","{'storage_location': 'Dry Storage', 'temperature_range': {'min': -7.550795931215777, 'max': 20.50111678733727}, 'humidity_range': {'min': 40.9600925337418, 'max': 79.69290624338592}, 'storage_requirements': []}","{'daily_usage': 2.2703684537820505, 'weekly_usage': 364.612278317228, 'monthly_usage': 1385.485841914245, 'usage_trend': 'decreasing', 'waste_rate': 0.07933416718507276, 'efficiency_score': 0.9414110453298631}","{'sustainability_rating': 0.4793795406282414, 'environmental_impact': 'high', 'sustainable_practices': ['organic production', 'local sourcing', 'recyclable packaging'], 'certifications': []}"
INV_6379,Local Beef,"{'main_category': 'Dry Goods', 'sub_category': 'Refrigerated', 'storage_type': 'Dry Storage', 'shelf_life': 195}","{'supplier_name': 'Supplier_690', 'supplier_type': 'Wholesale Distributor', 'delivery_frequency': 'Weekly', 'lead_time': 14, 'quality_rating': 3.1823792169305434, 'reliability_score': 0.9931120000872408}","{'current_stock': 543, 'minimum_stock': 90, 'maximum_stock': 752, 'reorder_point': 91, 'reorder_quantity': 338, 'stock_turnover_rate': 7.158255150637058, 'stock_value': 4918.867651282179}","{'unit_price': 23.38, 'bulk_price': 18.7, 'wholesale_price': 16.37, 'price_history': {'last_month': 25.32, 'last_quarter': 20.57, 'last_year': 19.35}, 'price_trend': 'decreasing'}","{'quality_grade': 'B', 'freshness_score': 0.8792707476196051, 'consistency_score': 0.9322354364078649, 'quality_issues': ['occasional inconsistency', 'delivery delays'], 'quality_improvements': ['faster delivery', 'improved packaging']}","{'storage_location': 'Produce Storage', 'temperature_range': {'min': 9.391559151996592, 'max': 3.9273503982902525}, 'humidity_range': {'min': 38.180552119943954, 'max': 74.61502245643206}, 'storage_requirements': []}","{'daily_usage': 11.601967877263547, 'weekly_usage': 70.80400527636175, 'monthly_usage': 947.4290275339316, 'usage_trend': 'stable', 'waste_rate': 0.03315363362161036, 'efficiency_score': 0.9433373059489069}","{'sustainability_rating': 0.9222600875403143, 'environmental_impact': 'high', 'sustainable_practices': ['reduced waste', 'organic production', 'local sourcing'], 'certifications': ['sustainable seafood']}"
INV_1856,Artisanal Beer,"{'main_category': 'Produce', 'sub_category': 'Frozen', 'storage_type': 'Produce Storage', 'shelf_life': 310}","{'supplier_name': 'Supplier_931', 'supplier_type': 'Local Producer', 'delivery_frequency': 'Bi-weekly', 'lead_time': 3, 'quality_rating': 4.365198463927857, 'reliability_score': 0.7137863927284279}","{'current_stock': 694, 'minimum_stock': 57, 'maximum_stock': 1564, 'reorder_point': 132, 'reorder_quantity': 472, 'stock_turnover_rate': 10.425807733414267, 'stock_value': 8913.286981045963}","{'unit_price': 65.75, 'bulk_price': 52.6, 'wholesale_price': 46.02, 'price_history': {'last_month': 66.8, 'last_quarter': 59.75, 'last_year': 50.98}, 'price_trend': 'decreasing'}","{'quality_grade': 'A', 'freshness_score': 0.812596062982684, 'consistency_score': 0.9722076248822042, 'quality_issues': ['delivery delays'], 'quality_improvements': ['quality control measures', 'better storage conditions']}","{'storage_location': 'Produce Storage', 'temperature_range': {'min': -7.157364802266461, 'max': 4.424213834508536}, 'humidity_range': {'min': 33.36903996849496, 'max': 76.71133421403707}, 'storage_requirements': ['refrigerate after opening', 'keep dry']}","{'daily_usage': 15.311153262753937, 'weekly_usage': 255.16548010565813, 'monthly_usage': 1888.6696995392133, 'usage_trend': 'stable', 'waste_rate': 0.0887253451799858, 'efficiency_score': 0.8127443316733793}","{'sustainability_rating': 0.9100015123837779, 'environmental_impact': 'high', 'sustainable_practices': ['reduced waste'], 'certifications': ['rainforest alliance']}"
INV_2441,Free-range Chicken,"{'main_category': 'Dry Goods', 'sub_category': 'Canned', 'storage_type': 'Produce Storage', 'shelf_life': 266}","{'supplier_name': 'Supplier_137', 'supplier_type': 'Local Producer', 'delivery_frequency': 'Daily', 'lead_time': 6, 'quality_rating': 4.574802925671706, 'reliability_score': 0.7947209507209302}","{'current_stock': 8, 'minimum_stock': 72, 'maximum_stock': 394, 'reorder_point': 172, 'reorder_quantity': 378, 'stock_turnover_rate': 3.6437430788666214, 'stock_value': 7235.083963850942}","{'unit_price': 71.44, 'bulk_price': 57.15, 'wholesale_price': 50.01, 'price_history': {'last_month': 75.88, 'last_quarter': 63.7, 'last_year': 55.58}, 'price_trend': 'decreasing'}","{'quality_grade': 'C', 'freshness_score': 0.7053089138094438, 'consistency_score': 0.989137795131172, 'quality_issues': ['delivery delays'], 'quality_improvements': []}","{'storage_location': 'Refrigeration', 'temperature_range': {'min': 3.2986216033602282, 'max': 18.867655369997962}, 'humidity_range': {'min': 41.80745681127585, 'max': 61.69632285885822}, 'storage_requirements': []}","{'daily_usage': 2.2239727867963683, 'weekly_usage': 39.79990289329412, 'monthly_usage': 1878.0892929070483, 'usage_trend': 'stable', 'waste_rate': 0.020249906157923436, 'efficiency_score': 0.8547897422428562}","{'sustainability_rating': 0.3440419020608433, 'environmental_impact': 'medium', 'sustainable_practices': ['local sourcing', 'organic production', 'reduced waste'], 'certifications': ['rainforest alliance', 'sustainable seafood']}"
INV_6637,Artisanal Flour,"{'main_category': 'Seafood', 'sub_category': 'Refrigerated', 'storage_type': 'Freezer', 'shelf_life': 213}","{'supplier_name': 'Supplier_645', 'supplier_type': 'Local Farm', 'delivery_frequency': 'Bi-weekly', 'lead_time': 13, 'quality_rating': 3.3922861693154314, 'reliability_score': 0.7773351278579139}","{'current_stock': 703, 'minimum_stock': 12, 'maximum_stock': 1259, 'reorder_point': 171, 'reorder_quantity': 451, 'stock_turnover_rate': 9.810570599221695, 'stock_value': 2833.900723935652}","{'unit_price': 71.16, 'bulk_price': 56.92, 'wholesale_price': 49.81, 'price_history': {'last_month': 69.02, 'last_quarter': 79.94, 'last_year': 60.99}, 'price_trend': 'increasing'}","{'quality_grade': 'B', 'freshness_score': 0.8798324632120064, 'consistency_score': 0.8226764171036074, 'quality_issues': [], 'quality_improvements': ['improved packaging']}","{'storage_location': 'Freezer', 'temperature_range': {'min': -10.435065443949501, 'max': 24.015112157687803}, 'humidity_range': {'min': 36.60388402876074, 'max': 60.43638304006461}, 'storage_requirements': ['refrigerate after opening']}","{'daily_usage': 26.885451670885246, 'weekly_usage': 153.24746549092126, 'monthly_usage': 1057.1241506461665, 'usage_trend': 'increasing', 'waste_rate': 0.09454608072190221, 'efficiency_score': 0.7925487252762744}","{'sustainability_rating': 0.33956987751877976, 'environmental_impact': 'low', 'sustainable_practices': ['organic production'], 'certifications': ['rainforest alliance', 'fair trade']}"
INV_8313,Sustainable Spices,"{'main_category': 'Seafood', 'sub_category': 'Dried', 'storage_type': 'Wine Cellar', 'shelf_life': 323}","{'supplier_name': 'Supplier_523', 'supplier_type': 'Specialty Importer', 'delivery_frequency': 'Weekly', 'lead_time': 13, 'quality_rating': 4.621134434495739, 'reliability_score': 0.895602141755617}","{'current_stock': 60, 'minimum_stock': 71, 'maximum_stock': 496, 'reorder_point': 69, 'reorder_quantity': 95, 'stock_turnover_rate': 7.983854217488943, 'stock_value': 5465.187857559624}","{'unit_price': 96.88, 'bulk_price': 77.51, 'wholesale_price': 67.82, 'price_history': {'last_month': 88.83, 'last_quarter': 98.19, 'last_year': 80.58}, 'price_trend': 'increasing'}","{'quality_grade': 'B', 'freshness_score': 0.815935013156185, 'consistency_score': 0.8230550082828197, 'quality_issues': ['occasional inconsistency', 'delivery delays'], 'quality_improvements': ['improved packaging']}","{'storage_location': 'Dry Storage', 'temperature_range': {'min': -19.30195114022158, 'max': 16.548254643414285}, 'humidity_range': {'min': 34.34734071685117, 'max': 63.60925375880995}, 'storage_requirements': ['refrigerate after opening', 'store in cool place']}","{'daily_usage': 64.63607230246208, 'weekly_usage': 70.40145182859668, 'monthly_usage': 599.8970725376976, 'usage_trend': 'decreasing', 'waste_rate': 0.07005335433200995, 'efficiency_score': 0.712918146571043}","{'sustainability_rating': 0.10278451757227014, 'environmental_impact': 'high', 'sustainable_practices': ['local sourcing'], 'certifications': []}"
INV_1830,Local Fish,"{'main_category': 'Dry Goods', 'sub_category': 'Refrigerated', 'storage_type': 'Freezer', 'shelf_life': 228}","{'supplier_name': 'Supplier_388', 'supplier_type': 'Local Producer', 'delivery_frequency': 'Monthly', 'lead_time': 11, 'quality_rating': 4.046294742980969, 'reliability_score': 0.9601668129701012}","{'current_stock': 602, 'minimum_stock': 69, 'maximum_stock': 788, 'reorder_point': 156, 'reorder_quantity': 438, 'stock_turnover_rate': 1.8114557792885289, 'stock_value': 5742.1039454608}","{'unit_price': 75.73, 'bulk_price': 60.59, 'wholesale_price': 53.01, 'price_history': {'last_month': 68.68, 'last_quarter': 86.74, 'last_year': 69.82}, 'price_trend': 'stable'}","{'quality_grade': 'C', 'freshness_score': 0.7557881543640411, 'consistency_score': 0.9401836273049945, 'quality_issues': ['variable freshness', 'delivery delays'], 'quality_improvements': []}","{'storage_location': 'Refrigeration', 'temperature_range': {'min': -14.9980959936225, 'max': 6.985479940113592}, 'humidity_range': {'min': 38.693368364977864, 'max': 70.06875640083061}, 'storage_requirements': ['keep dry', 'store in cool place']}","{'daily_usage': 81.42354464731339, 'weekly_usage': 99.35151617962573, 'monthly_usage': 1732.9433214124963, 'usage_trend': 'decreasing', 'waste_rate': 0.023043998438501124, 'efficiency_score': 0.9711324782675828}","{'sustainability_rating': 0.45800542230336627, 'environmental_impact': 'low', 'sustainable_practices': ['reduced waste'], 'certifications': []}"
INV_9324,Organic Spices,"{'main_category': 'Beverages', 'sub_category': 'Frozen', 'storage_type': 'Freezer', 'shelf_life': 103}","{'supplier_name': 'Supplier_229', 'supplier_type': 'Wholesale Distributor', 'delivery_frequency': 'Weekly', 'lead_time': 13, 'quality_rating': 4.225720066582063, 'reliability_score': 0.9661772189123112}","{'current_stock': 188, 'minimum_stock': 70, 'maximum_stock': 741, 'reorder_point': 101, 'reorder_quantity': 308, 'stock_turnover_rate': 4.582340836000315, 'stock_value': 1455.5014626135787}","{'unit_price': 36.47, 'bulk_price': 29.18, 'wholesale_price': 25.53, 'price_history': {'last_month': 33.66, 'last_quarter': 32.75, 'last_year': 45.3}, 'price_trend': 'increasing'}","{'quality_grade': 'A', 'freshness_score': 0.9121427184039211, 'consistency_score': 0.8725125358388255, 'quality_issues': ['variable freshness'], 'quality_improvements': ['improved packaging', 'faster delivery']}","{'storage_location': 'Dry Storage', 'temperature_range': {'min': 2.2033766813247375, 'max': 17.239505520969438}, 'humidity_range': {'min': 47.54480418973019, 'max': 75.12359856219948}, 'storage_requirements': ['store in cool place']}","{'daily_usage': 26.619385808617796, 'weekly_usage': 187.38301839276951, 'monthly_usage': 1526.036621415727, 'usage_trend': 'increasing', 'waste_rate': 0.023445953060420355, 'efficiency_score': 0.846910936353017}","{'sustainability_rating': 0.17663520120032772, 'environmental_impact': 'low', 'sustainable_practices': [], 'certifications': ['organic']}"
INV_5750,Artisanal Spices,"{'main_category': 'Seafood', 'sub_category': 'Fresh', 'storage_type': 'Wine Cellar', 'shelf_life': 350}","{'supplier_name': 'Supplier_312', 'supplier_type': 'Local Farm', 'delivery_frequency': 'Bi-weekly', 'lead_time': 2, 'quality_rating': 3.994668516231087, 'reliability_score': 0.7199046153228021}","{'current_stock': 250, 'minimum_stock': 62, 'maximum_stock': 1642, 'reorder_point': 26, 'reorder_quantity': 94, 'stock_turnover_rate': 6.957766790674199, 'stock_value': 989.5370017645065}","{'unit_price': 29.38, 'bulk_price': 23.51, 'wholesale_price': 20.57, 'price_history': {'last_month': 31.91, 'last_quarter': 33.43, 'last_year': 28.78}, 'price_trend': 'stable'}","{'quality_grade': 'B', 'freshness_score': 0.7875131865902859, 'consistency_score': 0.728048422358005, 'quality_issues': ['occasional inconsistency'], 'quality_improvements': ['improved packaging']}","{'storage_location': 'Wine Cellar', 'temperature_range': {'min': 4.609012990602302, 'max': 1.6721661556400091}, 'humidity_range': {'min': 43.02261076407366, 'max': 72.20864695102583}, 'storage_requirements': ['store in cool place', 'keep dry']}","{'daily_usage': 88.6676980190235, 'weekly_usage': 170.5599304813939, 'monthly_usage': 166.84449195041273, 'usage_trend': 'increasing', 'waste_rate': 0.053499366036237096, 'efficiency_score': 0.9074512116875595}","{'sustainability_rating': 0.4340368560094712, 'environmental_impact': 'low', 'sustainable_practices': ['organic production', 'local sourcing', 'reduced waste'], 'certifications': ['rainforest alliance', 'organic']}"
