item_id,name,category,description,ingredients,nutritional_info,pricing,preparation,allergen_info,dietary_info,seasonal_availability,popularity_metrics,cost_analysis,wine_pairings,modification_options
ITEM_9461,Roasted Mushroom Contemporary Indian Style,"{'main_category': 'Sides', 'sub_category': 'Meat', 'course_type': 'Drink', 'spice_level': 'Medium', 'preparation_time': 31}","A roasted dish featuring fresh herbs, with savory flavors and crispy textures.","{'main_ingredients': ['tofu', 'pasta'], 'vegetables': ['bell peppers', 'zucchini'], 'herbs_and_spices': ['rosemary', 'thyme', 'basil', 'oregano', 'coriander'], 'sauces_and_condiments': ['soy sauce', 'teriyaki sauce', 'olive oil'], 'garnishes': []}","{'calories': 274, 'protein': 21, 'carbohydrates': 26, 'fat': 14, 'fiber': 12, 'sugar': 13, 'sodium': 943, 'allergens': ['nuts', 'soy']}","{'base_price': 20.33, 'happy_hour_price': 16.26, 'weekend_price': 22.36, 'special_occasion_price': 24.39, 'portion_sizes': {'small': 14.23, 'regular': 20.328441225986698, 'large': 26.43}}","{'prep_time': 6, 'cook_time': 10, 'total_time': 73, 'difficulty_level': 'Easy', 'cooking_methods': ['roasting', 'grilling'], 'equipment_needed': ['oven', 'mixer', 'blender']}","{'contains': [], 'may_contain': ['nuts', 'shellfish'], 'preparation_notes': ['separate preparation area available', 'cross-contamination possible']}","{'suitable_for': ['gluten-free', 'vegetarian'], 'modifications_available': ['can be made vegan'], 'nutritional_highlights': ['low fat']}","{'available_seasons': ['winter', 'summer', 'spring', 'fall'], 'peak_season': 'fall', 'limited_time': False, 'seasonal_ingredients': ['citrus', 'asparagus']}","{'order_frequency': 0.9389455001773667, 'customer_rating': 4.444271174739724, 'review_count': 397, 'trending_score': 0.49014828641237385, 'repeat_order_rate': 0.7615250293547703, 'social_media_mentions': 21}","{'ingredient_cost': 14.154383599102683, 'labor_cost': 4.526252702742356, 'overhead_cost': 1.8097675998511407, 'total_cost': 19.523631271457283, 'profit_margin': 0.20706184302173078, 'cost_trends': {'ingredient_cost_trend': -0.042850587549331604, 'labor_cost_trend': -0.015853344788119797, 'overhead_cost_trend': -0.019083839512211456}}","{'recommended_wines': ['Sauvignon Blanc', 'Cabernet Sauvignon', 'Syrah'], 'pairing_notes': ['contrasts with the sweetness', 'complements the rich flavors'], 'alternative_beverages': ['non-alcoholic option']}","{'available_modifications': ['extra spicy', 'gluten-free option', 'mild', 'dairy-free option'], 'substitution_options': ['vegetable substitution'], 'customization_notes': ['can be made vegan', 'can be made milder']}"
ITEM_1971,Seared Lamb Classic Mexican Style,"{'main_category': 'Beverages', 'sub_category': 'Vegan', 'course_type': 'Drink', 'spice_level': 'Medium', 'preparation_time': 20}","A roasted dish featuring premium cuts, with rich flavors and crunchy textures.","{'main_ingredients': ['salmon fillet', 'pasta'], 'vegetables': ['carrots'], 'herbs_and_spices': ['coriander', 'oregano', 'paprika', 'cumin'], 'sauces_and_condiments': ['soy sauce', 'olive oil', 'hot sauce'], 'garnishes': []}","{'calories': 200, 'protein': 21, 'carbohydrates': 49, 'fat': 17, 'fiber': 3, 'sugar': 2, 'sodium': 930, 'allergens': ['fish', 'shellfish']}","{'base_price': 27.42, 'happy_hour_price': 21.94, 'weekend_price': 30.16, 'special_occasion_price': 32.9, 'portion_sizes': {'small': 19.19, 'regular': 27.419617162485462, 'large': 35.65}}","{'prep_time': 8, 'cook_time': 34, 'total_time': 21, 'difficulty_level': 'Medium', 'cooking_methods': ['roasting'], 'equipment_needed': ['grill', 'food processor', 'stovetop']}","{'contains': [], 'may_contain': ['eggs'], 'preparation_notes': ['separate preparation area available', 'cross-contamination possible']}","{'suitable_for': [], 'modifications_available': [], 'nutritional_highlights': ['high fiber', 'high protein']}","{'available_seasons': ['spring'], 'peak_season': 'spring', 'limited_time': False, 'seasonal_ingredients': ['citrus', 'asparagus']}","{'order_frequency': 0.5217865909795255, 'customer_rating': 4.386700031766434, 'review_count': 746, 'trending_score': 0.1976943106335256, 'repeat_order_rate': 0.73974379971537, 'social_media_mentions': 656}","{'ingredient_cost': 20.67349856212625, 'labor_cost': 5.643216436885731, 'overhead_cost': 4.538679323176239, 'total_cost': 32.1794882398224, 'profit_margin': 0.24399074259319828, 'cost_trends': {'ingredient_cost_trend': 0.09743679300944302, 'labor_cost_trend': -0.0020012764185523904, 'overhead_cost_trend': 0.040693334380098936}}","{'recommended_wines': ['Cabernet Sauvignon', 'Pinot Noir'], 'pairing_notes': ['enhances the umami notes'], 'alternative_beverages': []}","{'available_modifications': [], 'substitution_options': [], 'customization_notes': ['can be made milder']}"
ITEM_1207,Steamed Shrimp Modern Italian Style,"{'main_category': 'Sides', 'sub_category': 'Gluten-Free', 'course_type': 'Starter', 'spice_level': 'Medium', 'preparation_time': 15}","A pan-seared dish featuring premium cuts, with savory flavors and tender textures.","{'main_ingredients': ['mushrooms', 'salmon fillet'], 'vegetables': ['kale', 'spinach', 'bell peppers', 'zucchini'], 'herbs_and_spices': ['rosemary', 'oregano'], 'sauces_and_condiments': ['balsamic vinegar', 'hot sauce'], 'garnishes': []}","{'calories': 279, 'protein': 15, 'carbohydrates': 33, 'fat': 16, 'fiber': 15, 'sugar': 13, 'sodium': 521, 'allergens': ['eggs', 'shellfish']}","{'base_price': 27.03, 'happy_hour_price': 21.63, 'weekend_price': 29.74, 'special_occasion_price': 32.44, 'portion_sizes': {'small': 18.92, 'regular': 27.032059820861893, 'large': 35.14}}","{'prep_time': 9, 'cook_time': 28, 'total_time': 18, 'difficulty_level': 'Medium', 'cooking_methods': ['frying', 'sautéing'], 'equipment_needed': ['oven']}","{'contains': [], 'may_contain': [], 'preparation_notes': ['prepared in shared kitchen', 'cross-contamination possible']}","{'suitable_for': ['halal', 'vegan'], 'modifications_available': ['can be made vegan', 'can be made vegetarian'], 'nutritional_highlights': ['low carb', 'high fiber']}","{'available_seasons': ['fall', 'spring', 'winter', 'summer'], 'peak_season': 'winter', 'limited_time': True, 'seasonal_ingredients': ['truffles', 'morel mushrooms', 'pumpkin']}","{'order_frequency': 0.6140110233880666, 'customer_rating': 4.72304490233063, 'review_count': 374, 'trending_score': 0.9775369923092183, 'repeat_order_rate': 0.6216269908155321, 'social_media_mentions': 502}","{'ingredient_cost': 15.148348626537164, 'labor_cost': 8.336496894733454, 'overhead_cost': 3.3008088026637488, 'total_cost': 16.928199292607726, 'profit_margin': 0.20672132305828367, 'cost_trends': {'ingredient_cost_trend': 0.013215275039990787, 'labor_cost_trend': -0.015310189944079546, 'overhead_cost_trend': -0.01688831494243686}}","{'recommended_wines': ['Pinot Noir'], 'pairing_notes': ['balances the spice', 'enhances the umami notes'], 'alternative_beverages': []}","{'available_modifications': ['no sauce', 'mild', 'gluten-free option', 'extra spicy', 'no onions'], 'substitution_options': [], 'customization_notes': ['can be made spicier']}"
ITEM_7159,Fried Salmon Classic Mexican Style,"{'main_category': 'Desserts', 'sub_category': 'Vegetarian', 'course_type': 'Starter', 'spice_level': 'Spicy', 'preparation_time': 21}","A grilled dish featuring artisanal ingredients, with sweet flavors and tender textures.","{'main_ingredients': ['tofu'], 'vegetables': ['spinach', 'bell peppers', 'asparagus'], 'herbs_and_spices': ['thyme', 'oregano', 'coriander'], 'sauces_and_condiments': ['olive oil'], 'garnishes': []}","{'calories': 581, 'protein': 11, 'carbohydrates': 32, 'fat': 6, 'fiber': 6, 'sugar': 10, 'sodium': 734, 'allergens': ['fish']}","{'base_price': 40.67, 'happy_hour_price': 32.54, 'weekend_price': 44.74, 'special_occasion_price': 48.81, 'portion_sizes': {'small': 28.47, 'regular': 40.67465315037437, 'large': 52.88}}","{'prep_time': 24, 'cook_time': 17, 'total_time': 68, 'difficulty_level': 'Medium', 'cooking_methods': ['baking', 'braising'], 'equipment_needed': ['oven', 'mixer']}","{'contains': ['dairy', 'fish'], 'may_contain': ['dairy', 'shellfish'], 'preparation_notes': ['prepared in shared kitchen', 'separate preparation area available']}","{'suitable_for': ['halal', 'dairy-free'], 'modifications_available': [], 'nutritional_highlights': []}","{'available_seasons': ['spring', 'summer', 'fall', 'winter'], 'peak_season': 'winter', 'limited_time': False, 'seasonal_ingredients': ['truffles', 'morel mushrooms']}","{'order_frequency': 0.36838847671055375, 'customer_rating': 3.8393587493687162, 'review_count': 670, 'trending_score': 0.4750750752315239, 'repeat_order_rate': 0.23336771672755532, 'social_media_mentions': 926}","{'ingredient_cost': 15.79203169507955, 'labor_cost': 5.849770657174781, 'overhead_cost': 3.301255610448577, 'total_cost': 36.221973904964756, 'profit_margin': 0.32360139877255045, 'cost_trends': {'ingredient_cost_trend': 0.038342637380145594, 'labor_cost_trend': -0.03870437467052376, 'overhead_cost_trend': 0.025118819950910767}}","{'recommended_wines': ['Merlot', 'Syrah', 'Cabernet Sauvignon'], 'pairing_notes': ['complements the rich flavors'], 'alternative_beverages': ['non-alcoholic option']}","{'available_modifications': ['no onions', 'no sauce', 'gluten-free option'], 'substitution_options': ['vegetable substitution', 'protein substitution'], 'customization_notes': ['can be made vegetarian', 'can be made milder']}"
ITEM_2312,Seared Salmon Traditional Thai Style,"{'main_category': 'Sides', 'sub_category': 'Vegetarian', 'course_type': 'Main', 'spice_level': 'Mild', 'preparation_time': 27}","A slow-cooked dish featuring premium cuts, with savory flavors and creamy textures.","{'main_ingredients': ['beef tenderloin', 'tofu', 'chicken breast'], 'vegetables': ['carrots'], 'herbs_and_spices': ['cumin', 'basil', 'oregano', 'coriander', 'thyme'], 'sauces_and_condiments': ['balsamic vinegar', 'hot sauce', 'olive oil'], 'garnishes': ['citrus zest', 'toasted nuts']}","{'calories': 235, 'protein': 11, 'carbohydrates': 57, 'fat': 16, 'fiber': 12, 'sugar': 20, 'sodium': 358, 'allergens': []}","{'base_price': 18.2, 'happy_hour_price': 14.56, 'weekend_price': 20.02, 'special_occasion_price': 21.84, 'portion_sizes': {'small': 12.74, 'regular': 18.200712599772086, 'large': 23.66}}","{'prep_time': 13, 'cook_time': 36, 'total_time': 58, 'difficulty_level': 'Medium', 'cooking_methods': ['frying'], 'equipment_needed': ['stovetop']}","{'contains': ['shellfish'], 'may_contain': ['soy', 'shellfish'], 'preparation_notes': ['cross-contamination possible', 'prepared in shared kitchen']}","{'suitable_for': ['halal', 'gluten-free'], 'modifications_available': ['can be made dairy-free'], 'nutritional_highlights': ['low carb']}","{'available_seasons': ['winter', 'fall', 'spring', 'summer'], 'peak_season': 'winter', 'limited_time': False, 'seasonal_ingredients': []}","{'order_frequency': 0.38905553754541566, 'customer_rating': 4.687727767823708, 'review_count': 437, 'trending_score': 0.16396158331870647, 'repeat_order_rate': 0.42980097089930136, 'social_media_mentions': 825}","{'ingredient_cost': 15.439493589904583, 'labor_cost': 4.984728774700906, 'overhead_cost': 3.3807712632266824, 'total_cost': 19.022405013226944, 'profit_margin': 0.3490641752800739, 'cost_trends': {'ingredient_cost_trend': -0.0394062860142727, 'labor_cost_trend': 0.03846538345021612, 'overhead_cost_trend': -0.040882597673922876}}","{'recommended_wines': ['Pinot Noir'], 'pairing_notes': ['balances the spice'], 'alternative_beverages': []}","{'available_modifications': ['dairy-free option', 'gluten-free option'], 'substitution_options': ['vegetable substitution', 'sauce substitution'], 'customization_notes': ['can be made vegan']}"
ITEM_6633,Roasted Mushroom Classic Italian Style,"{'main_category': 'Desserts', 'sub_category': 'Meat', 'course_type': 'Dessert', 'spice_level': 'Medium', 'preparation_time': 28}","A grilled dish featuring premium cuts, with aromatic flavors and tender textures.","{'main_ingredients': ['rice', 'chicken breast', 'salmon fillet'], 'vegetables': ['broccoli', 'carrots', 'spinach', 'kale'], 'herbs_and_spices': ['basil', 'thyme', 'coriander'], 'sauces_and_condiments': ['hot sauce', 'soy sauce', 'teriyaki sauce'], 'garnishes': ['microgreens', 'fresh herbs']}","{'calories': 444, 'protein': 40, 'carbohydrates': 55, 'fat': 16, 'fiber': 5, 'sugar': 0, 'sodium': 797, 'allergens': ['fish', 'dairy', 'shellfish']}","{'base_price': 22.31, 'happy_hour_price': 17.85, 'weekend_price': 24.54, 'special_occasion_price': 26.77, 'portion_sizes': {'small': 15.62, 'regular': 22.310407497471196, 'large': 29.0}}","{'prep_time': 18, 'cook_time': 35, 'total_time': 23, 'difficulty_level': 'Easy', 'cooking_methods': ['grilling', 'braising'], 'equipment_needed': ['mixer', 'food processor']}","{'contains': ['fish', 'eggs'], 'may_contain': [], 'preparation_notes': ['cross-contamination possible']}","{'suitable_for': ['vegetarian', 'halal'], 'modifications_available': [], 'nutritional_highlights': []}","{'available_seasons': ['winter', 'spring', 'fall'], 'peak_season': 'summer', 'limited_time': False, 'seasonal_ingredients': ['truffles', 'citrus']}","{'order_frequency': 0.959234124867629, 'customer_rating': 3.6465429073453635, 'review_count': 83, 'trending_score': 0.9671951791537567, 'repeat_order_rate': 0.7419375751781916, 'social_media_mentions': 874}","{'ingredient_cost': 24.673480585021352, 'labor_cost': 6.610235076138953, 'overhead_cost': 3.216726524972044, 'total_cost': 37.275932992538074, 'profit_margin': 0.2404093919575392, 'cost_trends': {'ingredient_cost_trend': 0.07704588731182427, 'labor_cost_trend': 0.01220899145405828, 'overhead_cost_trend': -0.013459242359962202}}","{'recommended_wines': ['Sauvignon Blanc'], 'pairing_notes': ['enhances the umami notes'], 'alternative_beverages': ['cocktail', 'craft beer']}","{'available_modifications': ['dairy-free option'], 'substitution_options': ['vegetable substitution'], 'customization_notes': ['can be made milder']}"
ITEM_2277,Poached Lamb Traditional Thai Style,"{'main_category': 'Beverages', 'sub_category': 'Vegan', 'course_type': 'Drink', 'spice_level': 'Medium', 'preparation_time': 20}","A slow-cooked dish featuring local vegetables, with aromatic flavors and crunchy textures.","{'main_ingredients': ['mushrooms', 'chicken breast'], 'vegetables': ['spinach', 'zucchini', 'broccoli'], 'herbs_and_spices': ['cumin', 'thyme', 'paprika'], 'sauces_and_condiments': ['soy sauce', 'olive oil', 'teriyaki sauce'], 'garnishes': ['seeds', 'toasted nuts']}","{'calories': 483, 'protein': 14, 'carbohydrates': 55, 'fat': 29, 'fiber': 11, 'sugar': 20, 'sodium': 780, 'allergens': []}","{'base_price': 25.38, 'happy_hour_price': 20.31, 'weekend_price': 27.92, 'special_occasion_price': 30.46, 'portion_sizes': {'small': 17.77, 'regular': 25.38208778011687, 'large': 33.0}}","{'prep_time': 27, 'cook_time': 35, 'total_time': 36, 'difficulty_level': 'Easy', 'cooking_methods': ['braising'], 'equipment_needed': ['mixer', 'blender']}","{'contains': [], 'may_contain': [], 'preparation_notes': ['cross-contamination possible', 'separate preparation area available']}","{'suitable_for': ['vegan'], 'modifications_available': ['can be made gluten-free', 'can be made dairy-free', 'can be made vegetarian'], 'nutritional_highlights': ['high protein']}","{'available_seasons': ['spring', 'winter'], 'peak_season': 'winter', 'limited_time': False, 'seasonal_ingredients': []}","{'order_frequency': 0.9192639190652918, 'customer_rating': 4.9124404901172385, 'review_count': 80, 'trending_score': 0.9634862622168302, 'repeat_order_rate': 0.11832272037178201, 'social_media_mentions': 70}","{'ingredient_cost': 7.461819552886424, 'labor_cost': 8.766914904095188, 'overhead_cost': 1.1412267012217243, 'total_cost': 20.42879117109004, 'profit_margin': 0.3741177299405458, 'cost_trends': {'ingredient_cost_trend': 0.060627954534986095, 'labor_cost_trend': 0.0005969020023213756, 'overhead_cost_trend': 0.012633399413916238}}","{'recommended_wines': ['Pinot Noir', 'Merlot'], 'pairing_notes': ['balances the spice', 'contrasts with the sweetness'], 'alternative_beverages': []}","{'available_modifications': ['dairy-free option', 'gluten-free option', 'no sauce', 'extra spicy', 'extra sauce'], 'substitution_options': ['sauce substitution'], 'customization_notes': []}"
ITEM_2247,Steamed Lamb Classic Thai Style,"{'main_category': 'Main Courses', 'sub_category': 'Meat', 'course_type': 'Dessert', 'spice_level': 'Medium', 'preparation_time': 30}","A grilled dish featuring local vegetables, with savory flavors and tender textures.","{'main_ingredients': ['salmon fillet', 'chicken breast'], 'vegetables': ['carrots', 'spinach', 'asparagus'], 'herbs_and_spices': ['cumin', 'thyme', 'basil'], 'sauces_and_condiments': ['teriyaki sauce'], 'garnishes': []}","{'calories': 648, 'protein': 37, 'carbohydrates': 40, 'fat': 26, 'fiber': 13, 'sugar': 14, 'sodium': 665, 'allergens': []}","{'base_price': 37.36, 'happy_hour_price': 29.89, 'weekend_price': 41.1, 'special_occasion_price': 44.83, 'portion_sizes': {'small': 26.15, 'regular': 37.361673943204195, 'large': 48.57}}","{'prep_time': 26, 'cook_time': 36, 'total_time': 44, 'difficulty_level': 'Easy', 'cooking_methods': ['sautéing'], 'equipment_needed': ['grill', 'mixer', 'stovetop']}","{'contains': ['shellfish'], 'may_contain': ['dairy'], 'preparation_notes': ['prepared in shared kitchen', 'cross-contamination possible']}","{'suitable_for': ['dairy-free', 'halal'], 'modifications_available': ['can be made vegetarian'], 'nutritional_highlights': ['high protein', 'low carb']}","{'available_seasons': ['summer', 'spring'], 'peak_season': 'winter', 'limited_time': True, 'seasonal_ingredients': ['morel mushrooms', 'pumpkin', 'truffles']}","{'order_frequency': 0.44211091214500686, 'customer_rating': 4.938636003210235, 'review_count': 976, 'trending_score': 0.7876878886696479, 'repeat_order_rate': 0.13140050998306316, 'social_media_mentions': 894}","{'ingredient_cost': 13.930138607273545, 'labor_cost': 7.799506801390332, 'overhead_cost': 2.019323931544954, 'total_cost': 27.462022963588147, 'profit_margin': 0.2878453547024983, 'cost_trends': {'ingredient_cost_trend': 0.07409794069124992, 'labor_cost_trend': -0.022228125579262917, 'overhead_cost_trend': -0.04663817939475853}}","{'recommended_wines': ['Merlot', 'Syrah'], 'pairing_notes': ['contrasts with the sweetness', 'enhances the umami notes'], 'alternative_beverages': ['cocktail']}","{'available_modifications': ['no onions', 'extra sauce', 'mild'], 'substitution_options': [], 'customization_notes': ['can be made spicier']}"
ITEM_9033,Seared Beef Contemporary Italian Style,"{'main_category': 'Desserts', 'sub_category': 'Gluten-Free', 'course_type': 'Dessert', 'spice_level': 'Spicy', 'preparation_time': 40}","A grilled dish featuring local vegetables, with spicy flavors and crunchy textures.","{'main_ingredients': ['chicken breast'], 'vegetables': ['carrots', 'bell peppers'], 'herbs_and_spices': ['thyme', 'coriander', 'rosemary', 'cumin', 'oregano'], 'sauces_and_condiments': ['hot sauce', 'balsamic vinegar', 'teriyaki sauce'], 'garnishes': []}","{'calories': 457, 'protein': 26, 'carbohydrates': 27, 'fat': 27, 'fiber': 11, 'sugar': 9, 'sodium': 360, 'allergens': []}","{'base_price': 14.96, 'happy_hour_price': 11.97, 'weekend_price': 16.46, 'special_occasion_price': 17.96, 'portion_sizes': {'small': 10.47, 'regular': 14.962738355656334, 'large': 19.45}}","{'prep_time': 30, 'cook_time': 36, 'total_time': 38, 'difficulty_level': 'Medium', 'cooking_methods': ['steaming'], 'equipment_needed': ['food processor', 'stovetop']}","{'contains': ['shellfish'], 'may_contain': ['eggs', 'nuts'], 'preparation_notes': ['prepared in shared kitchen', 'separate preparation area available']}","{'suitable_for': ['vegan', 'halal'], 'modifications_available': [], 'nutritional_highlights': ['low carb']}","{'available_seasons': ['spring', 'winter', 'summer', 'fall'], 'peak_season': 'summer', 'limited_time': True, 'seasonal_ingredients': ['truffles', 'berries']}","{'order_frequency': 0.9781793320088579, 'customer_rating': 3.528538775436168, 'review_count': 921, 'trending_score': 0.8129172573315988, 'repeat_order_rate': 0.6194720663360862, 'social_media_mentions': 402}","{'ingredient_cost': 7.878913530540714, 'labor_cost': 7.632548430951746, 'overhead_cost': 2.692047749906901, 'total_cost': 14.659264367561114, 'profit_margin': 0.3425821984363361, 'cost_trends': {'ingredient_cost_trend': 0.07722760731304021, 'labor_cost_trend': -0.0024424977117274774, 'overhead_cost_trend': 0.011849478140388003}}","{'recommended_wines': ['Pinot Noir', 'Merlot', 'Syrah'], 'pairing_notes': ['balances the spice'], 'alternative_beverages': ['cocktail']}","{'available_modifications': ['gluten-free option', 'no sauce', 'extra spicy', 'extra sauce'], 'substitution_options': ['grain substitution', 'sauce substitution', 'vegetable substitution'], 'customization_notes': ['can be made spicier', 'can be made milder']}"
ITEM_4766,Roasted Lamb Contemporary Thai Style,"{'main_category': 'Appetizers', 'sub_category': 'Vegetarian', 'course_type': 'Starter', 'spice_level': 'Medium', 'preparation_time': 44}","A grilled dish featuring fresh herbs, with savory flavors and creamy textures.","{'main_ingredients': ['rice', 'chicken breast', 'pasta'], 'vegetables': ['zucchini', 'broccoli', 'spinach'], 'herbs_and_spices': ['cumin', 'oregano', 'thyme'], 'sauces_and_condiments': ['olive oil'], 'garnishes': ['toasted nuts', 'citrus zest']}","{'calories': 244, 'protein': 27, 'carbohydrates': 25, 'fat': 26, 'fiber': 9, 'sugar': 12, 'sodium': 831, 'allergens': ['fish', 'nuts', 'soy']}","{'base_price': 38.04, 'happy_hour_price': 30.43, 'weekend_price': 41.84, 'special_occasion_price': 45.64, 'portion_sizes': {'small': 26.63, 'regular': 38.03702975016776, 'large': 49.45}}","{'prep_time': 28, 'cook_time': 42, 'total_time': 29, 'difficulty_level': 'Hard', 'cooking_methods': ['roasting', 'braising', 'grilling'], 'equipment_needed': ['grill']}","{'contains': ['dairy', 'wheat', 'nuts'], 'may_contain': ['shellfish', 'wheat'], 'preparation_notes': ['prepared in shared kitchen']}","{'suitable_for': ['kosher'], 'modifications_available': ['can be made vegan'], 'nutritional_highlights': []}","{'available_seasons': ['fall', 'winter', 'spring'], 'peak_season': 'spring', 'limited_time': False, 'seasonal_ingredients': ['morel mushrooms', 'asparagus', 'berries']}","{'order_frequency': 0.9517961418923604, 'customer_rating': 4.345299881297662, 'review_count': 98, 'trending_score': 0.5670243583728857, 'repeat_order_rate': 0.6171416873763091, 'social_media_mentions': 585}","{'ingredient_cost': 10.075472615257306, 'labor_cost': 2.71881033532501, 'overhead_cost': 3.7427431305007643, 'total_cost': 36.0588973965257, 'profit_margin': 0.23655839475315982, 'cost_trends': {'ingredient_cost_trend': 0.03787093602308528, 'labor_cost_trend': 0.010922000314839975, 'overhead_cost_trend': 0.020685588463722357}}","{'recommended_wines': ['Syrah', 'Merlot'], 'pairing_notes': ['enhances the umami notes'], 'alternative_beverages': []}","{'available_modifications': ['dairy-free option', 'no onions'], 'substitution_options': ['grain substitution', 'protein substitution'], 'customization_notes': []}"
