order_id,customer_id,order_time,items,total_amount,payment_method,service_type,special_instructions,server,table_number,order_status,preparation_time,delivery_time
31d89a1b-6d5a-4ba1-906a-bfd0492dde56,9244ab3b-2756-4a3e-8709-e9d1e232ebfc,2025-05-20 11:25:18.910110,"[{'item_id': 10, 'name': 'Crème Brûlée', 'category': 'dessert', 'price': 10.0, 'quantity': 1, 'special_instructions': 'no dairy, well done'}]",10.0,credit_card,takeout,,Emily Davis,13,completed,43,67
4e7b930c-7bc4-4e27-b563-c1caecab6cc6,9c6a0c12-1053-4c46-bf80-d70d4d3c2692,2025-06-01 21:38:18.910251,"[{'item_id': 4, 'name': 'Lobster Bisque', 'category': 'appetizer', 'price': 16.0, 'quantity': 3, 'special_instructions': ''}, {'item_id': 5, 'name': 'Grilled Octopus', 'category': 'appetizer', 'price': 22.0, 'quantity': 1, 'special_instructions': ''}, {'item_id': 10, 'name': 'Crème Brûlée', 'category': 'dessert', 'price': 10.0, 'quantity': 2, 'special_instructions': ''}, {'item_id': 7, 'name': 'Fattoush Salad', 'category': 'appetizer', 'price': 14.0, 'quantity': 1, 'special_instructions': 'no onions, medium rare'}]",104.0,cash,dine_in,,James Taylor,26,completed,17,79
9f5dee5f-010b-4a52-83ab-e886a0192ba0,15d8d092-229d-4725-9249-4eb1e0de443b,2025-05-17 20:12:18.910359,"[{'item_id': 4, 'name': 'Lobster Bisque', 'category': 'appetizer', 'price': 16.0, 'quantity': 3, 'special_instructions': ''}]",48.0,credit_card,delivery,,John Smith,10,cancelled,24,35
189eb231-db98-4e1b-8469-55d1f327f8ac,c9b116a2-1255-4f1e-a6d5-7b418314788d,2025-05-23 14:38:18.910456,"[{'item_id': 9, 'name': 'Chocolate Soufflé', 'category': 'dessert', 'price': 12.0, 'quantity': 1, 'special_instructions': ''}, {'item_id': 7, 'name': 'Fattoush Salad', 'category': 'appetizer', 'price': 14.0, 'quantity': 1, 'special_instructions': 'well done'}, {'item_id': 4, 'name': 'Lobster Bisque', 'category': 'appetizer', 'price': 16.0, 'quantity': 3, 'special_instructions': ''}]",74.0,credit_card,dine_in,"special_requests, cooking_preference",John Smith,5,completed,17,87
1ce6e7d9-4bae-4d74-a353-f58899b3a950,14cc2a23-ea70-42e0-8625-0499897d2e4e,2025-06-13 14:49:18.910564,"[{'item_id': 9, 'name': 'Chocolate Soufflé', 'category': 'dessert', 'price': 12.0, 'quantity': 2, 'special_instructions': ''}, {'item_id': 10, 'name': 'Crème Brûlée', 'category': 'dessert', 'price': 10.0, 'quantity': 3, 'special_instructions': ''}]",54.0,credit_card,dine_in,special_requests,David Wilson,16,completed,33,88
9497f382-3a7b-4ed1-ae5d-1a2e6b3bba6c,60675b53-bcb2-401d-b702-85e1b24459f1,2025-05-19 19:02:18.910660,"[{'item_id': 7, 'name': 'Fattoush Salad', 'category': 'appetizer', 'price': 14.0, 'quantity': 3, 'special_instructions': ''}, {'item_id': 2, 'name': 'Pan-Seared Sea Bass', 'category': 'main', 'price': 45.0, 'quantity': 2, 'special_instructions': ''}, {'item_id': 2, 'name': 'Pan-Seared Sea Bass', 'category': 'main', 'price': 45.0, 'quantity': 2, 'special_instructions': 'no dairy'}]",222.0,debit_card,takeout,,Michael Brown,2,completed,41,39
29e60af0-7fdf-46f7-ad00-f33f776c97ad,2db5d9d4-a757-4b03-85fd-2324c6efa443,2025-05-25 14:21:18.910757,"[{'item_id': 8, 'name': 'Hummus Trio', 'category': 'appetizer', 'price': 12.0, 'quantity': 2, 'special_instructions': ''}]",24.0,cash,dine_in,,John Smith,1,completed,38,67
74c6e07d-6847-4bde-addd-e4753096dcbf,a7d180bc-a43c-4315-994e-56e97d7f531a,2025-05-18 11:44:18.910844,"[{'item_id': 4, 'name': 'Lobster Bisque', 'category': 'appetizer', 'price': 16.0, 'quantity': 1, 'special_instructions': ''}]",16.0,debit_card,dine_in,"allergies, dietary_restrictions",Lisa Anderson,17,completed,25,80
6f26cf0b-faac-4828-b21a-550337913329,cb87d67c-b8b2-4bf0-be2f-6364699a485d,2025-06-11 12:26:18.910939,"[{'item_id': 9, 'name': 'Chocolate Soufflé', 'category': 'dessert', 'price': 12.0, 'quantity': 3, 'special_instructions': ''}, {'item_id': 10, 'name': 'Crème Brûlée', 'category': 'dessert', 'price': 10.0, 'quantity': 1, 'special_instructions': 'no onions'}, {'item_id': 1, 'name': 'Wagyu Beef Tenderloin', 'category': 'main', 'price': 65.0, 'quantity': 3, 'special_instructions': ''}, {'item_id': 8, 'name': 'Hummus Trio', 'category': 'appetizer', 'price': 12.0, 'quantity': 1, 'special_instructions': ''}, {'item_id': 2, 'name': 'Pan-Seared Sea Bass', 'category': 'main', 'price': 45.0, 'quantity': 2, 'special_instructions': ''}]",343.0,credit_card,takeout,,Lisa Anderson,32,completed,28,43
79500bfa-d229-4f25-b916-e6fbee8a86d2,a115d914-db88-413f-9c23-ab758ad83ff6,2025-06-09 18:35:18.911034,"[{'item_id': 3, 'name': 'Truffle Mac and Cheese', 'category': 'side', 'price': 18.0, 'quantity': 2, 'special_instructions': 'light sauce'}]",36.0,credit_card,dine_in,"dietary_restrictions, cooking_preference",Michael Brown,42,cancelled,18,67
