reservation_id,customer_id,reservation_time,party_size,seating_area,special_requests,status,duration,occasion,preferred_server,table_preference
67bbff1d-f4d5-4480-aeb3-03e76ef34c5b,50b2d551-8805-42f5-a9ea-0f803dcfb6c6,2025-07-08 11:45:18.721179,4,outdoor_patio,[],confirmed,120,regular_dining,John Smith,4-top
e56ba95d-1911-4a7d-8bd3-ea58d5bdba31,d9acb286-7112-4f2a-8311-60525c7ed695,2025-06-29 16:30:18.722448,2,bar,['allergy considerations'],confirmed,90,regular_dining,John Smith,2-top
b10bb189-d46d-4754-acbb-eeb073f2e8bf,7c73d686-315e-4ca8-a905-316bdb209e10,2025-07-14 12:00:18.722565,4,main_dining,['booth'],pending,120,regular_dining,Jennifer Martinez,4-top
1bec74a0-9b5d-4bba-9e2d-4bb7da63ea1c,c762b392-7f7a-447c-b16c-c7b6db154516,2025-07-10 18:30:18.722668,7,private_room,[],confirmed,165,business_meeting,Jennifer Martinez,7-top
622be2c8-2122-4c55-ad46-7c3114100418,0a981cbc-0140-4b4e-9fb4-bbd932dc6d26,2025-06-26 18:15:18.722768,4,main_dining,['anniversary celebration'],cancelled,120,birthday,James Taylor,booth
1012060e-76d2-4e22-97e4-ca1536967f95,a7e54e12-9325-4b5d-9b6a-8943f35345f9,2025-06-16 18:00:18.722868,4,main_dining,['birthday celebration'],cancelled,120,regular_dining,Michael Brown,4-top
46abd88d-7186-4497-a5af-251030845e38,b293dd03-9970-4df5-abe9-7b225616df7e,2025-06-21 14:45:18.722962,9,private_room,"['anniversary celebration', 'special dietary requirements']",cancelled,195,regular_dining,David Wilson,9-top
68cd6359-b32e-4c13-b286-39c9a4cc4070,66378ead-fc7e-49c4-9a02-8d67127a8af1,2025-06-17 19:45:18.723060,6,main_dining,['birthday celebration'],pending,150,regular_dining,Jennifer Martinez,6-top
486cd395-218b-451d-99dd-7a82d4bf560b,30d36d4e-ef5b-40e6-b497-280cb41d6575,2025-07-12 17:00:18.723155,4,outdoor_patio,"['wheelchair accessible', 'high chair', 'window seat']",confirmed,120,regular_dining,Lisa Anderson,booth
34b9e0cb-33da-4165-a9b1-c81c2bfec0ca,c4774de9-47d3-4b4b-b55b-2f8ca3ea27e6,2025-06-19 11:15:18.723255,2,outdoor_patio,[],pending,90,anniversary,Lisa Anderson,2-top
d9d8eead-7ab6-4ead-9663-4cdd244757d3,8826586a-92d3-4724-a811-79773218b564,2025-06-25 17:45:18.723348,3,main_dining,[],pending,105,regular_dining,Emily Davis,booth
5065b27f-3d01-4e44-abbc-f205694a4ebe,eb904edf-8a4d-4ea0-8447-1e64fc3f4cc2,2025-07-10 21:00:18.723443,2,outdoor_patio,[],pending,90,business_meeting,John Smith,bar
b8fa9162-b357-47da-b8bb-01021e1c654d,15814833-45c0-4348-8240-d4b07b6009ed,2025-06-15 13:00:18.723536,2,bar,[],completed,90,regular_dining,Emily Davis,2-top
4ea8c689-506a-404a-bacc-e39a4a8c15ac,5984509e-c12d-47cf-98b1-e605308b401a,2025-07-05 15:00:18.723629,2,bar,[],cancelled,90,regular_dining,Lisa Anderson,bar
9c705cf4-ad14-4f58-af41-046efc38bee2,3df4f790-f3d4-4708-90b3-617b4f3acec2,2025-06-28 14:15:18.723718,4,outdoor_patio,[],cancelled,120,regular_dining,Michael Brown,4-top
3e6a48b0-4d8a-4deb-bae8-87a091bfc1a3,1a4f3d3e-be54-4bf9-88be-7bac99a295cb,2025-06-24 14:00:18.723808,2,outdoor_patio,"['allergy considerations', 'anniversary celebration', 'special dietary requirements']",confirmed,90,regular_dining,David Wilson,2-top
22efae62-0a75-4b48-a49e-e070baefec56,b9353ac5-4b6d-4d99-b673-5b9d07d162d4,2025-06-20 11:30:18.723899,2,bar,"['anniversary celebration', 'special dietary requirements']",pending,90,regular_dining,Emily Davis,bar
0dc421c8-c593-4d5d-9bb9-6138abff28b5,53d968f9-35f7-4815-891b-c05760242a41,2025-07-10 18:30:18.723988,2,bar,[],pending,90,special_celebration,Emily Davis,bar
17d398b3-b188-4875-af22-4f76c7f65a18,d5752ef1-ac42-4526-8acc-d775f1d7113c,2025-07-10 20:00:18.724077,3,main_dining,[],pending,105,birthday,Jennifer Martinez,booth
d58b5b4c-3d34-49cd-851a-58374c58b5f0,09969796-5a31-4859-92e1-71eee490325c,2025-06-29 21:00:18.724163,2,outdoor_patio,"['anniversary celebration', 'birthday celebration']",pending,90,regular_dining,John Smith,booth
be0e2f56-0caa-489a-bd12-9d60a632d907,72199b34-e181-49f3-bf60-b76ac4ffc69c,2025-07-11 12:15:18.724256,5,main_dining,[],pending,135,regular_dining,John Smith,6-top
ca34aa08-8920-40f0-bd98-c2a890e909bc,2d40bd7b-a356-47fa-8dec-7d9d71bbd1e1,2025-06-28 12:30:18.724342,3,outdoor_patio,[],cancelled,105,regular_dining,John Smith,4-top
cbed50d7-d4a9-451d-af08-d41f1abaa4a8,112ce5d8-5e48-43cd-8bfe-bb09e18dd7d8,2025-06-18 15:15:18.724431,2,main_dining,[],cancelled,90,business_meeting,Jennifer Martinez,bar
597ef5b0-c0b3-495a-9941-43095e9e4f3f,d76993c1-17bc-4d7c-a953-b9ad3cab6f30,2025-07-07 13:00:18.724519,2,bar,['high chair'],pending,90,birthday,John Smith,2-top
3b04a81e-196a-4918-bf7e-74194f17362a,c9c1ac0d-3133-4ad3-a924-750a316db635,2025-06-16 13:45:18.724611,4,main_dining,[],cancelled,120,business_meeting,James Taylor,booth
459f79a6-af63-4c42-83b0-7f57d492072a,004eb7c8-7a39-4731-9a05-d13f396aced1,2025-07-06 15:45:18.724698,7,private_room,[],confirmed,165,regular_dining,James Taylor,7-top
822dd529-0ab6-425d-a598-043563b13edb,7170d3a1-fef7-4673-9b79-ea1994b2f427,2025-06-25 13:00:18.724786,8,private_room,['birthday celebration'],confirmed,180,business_meeting,Michael Brown,8-top
16249758-5d65-4177-a35e-68f9e25219ef,3b874616-001c-4ef8-a1a2-56fb3b02b454,2025-07-08 20:30:18.724875,2,bar,[],confirmed,90,special_celebration,Jennifer Martinez,booth
94abcabe-5eb5-4218-9005-dfe07d79484e,e71a38d8-9969-4734-9766-ecb781ada78e,2025-07-11 18:45:18.724961,2,main_dining,[],pending,90,regular_dining,Jennifer Martinez,booth
52e8f688-62e4-4c67-940d-47708b84e972,73f3f8d8-21dd-4f59-8f5b-dd8b1216038b,2025-07-08 18:30:18.725045,2,main_dining,"['birthday celebration', 'quiet table', 'anniversary celebration']",cancelled,90,special_celebration,David Wilson,booth
687d8e37-1ed2-4fca-a631-bfe3cb59439d,65041ff0-73b7-4695-b834-aaa857a102b2,2025-06-16 17:45:18.725135,2,bar,[],cancelled,90,birthday,John Smith,booth
f4867b36-e671-47c4-aea1-caa38c0ed723,3d96c38a-cca7-4e2d-905c-b124dbe7dc19,2025-07-15 13:00:18.725220,3,main_dining,[],pending,105,regular_dining,Lisa Anderson,4-top
